OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,X,Y,GEOCODESTATUS,SHAPE,PERMITID
2396,04092021411,COSTCO WHOLESALE #645 ROTISERRIE/DELI,2838 WAKE FOREST RD ,,RALEIGH,NC,27609,(919) 755-2816,2006/10/24 00:00:00+00,2 - Food Stands,-78.62231322,35.81825683,M,,Not Provided
2397,04092021412,FRESH MARKET #8 PRODUCE,3655 CARY PKWY ,,CARY,NC,27511,(919) 481-2865,2006/10/31 00:00:00+00,2 - Food Stands,-78.83800517,35.78179735,M,,Not Provided
2398,04092021413,FRESH MARKET #8 SEAFOOD,3655 CARY PKY ,,CARY,NC,27511,(919) 481-2865,2006/10/31 00:00:00+00,2 - Food Stands,-78.83800517,35.78179735,M,,Not Provided
2399,04092021414,FRESH MARKET #8 DELI,3655 CARY PKWY ,,CARY,NC,27513,(919) 481-2865,2006/10/31 00:00:00+00,2 - Food Stands,-78.83800517,35.78179735,M,,Not Provided
2400,04092021418,LOS CUATES MEXICAN FOOD,3505 CAPITAL BLVD ,,RALEIGH,NC,27609,(919) 954-1215,2006/12/22 00:00:00+00,2 - Food Stands,-78.58692931,35.82783317,M,,Not Provided
2401,04092021415,BJ'S MEMBERSHIP CLUB #177 DELI/MEAT MARKET,6301 TRIANGLE PLANTATION DR ,,RALEIGH,NC,27616,(919) 278-1000,2006/10/25 00:00:00+00,2 - Food Stands,-78.5823769,35.87315531,M,,Not Provided
2402,04092021428,SPEEDWAY #6961,4541 JONES SAUSAGE RD,,RALEIGH,NC,27529,(919) 779-3409,2006/12/18 00:00:00+00,2 - Food Stands,-78.58616224,35.72106678,M,,Not Provided
2403,04092021439,SEA DEPOT SEAFOOD MARKET,750-G E CHATHAM ST ,,CARY,NC,27511,(919) 469-8889,2007/03/12 00:00:00+00,2 - Food Stands,-78.76514284,35.79157176,M,,Not Provided
2404,04092021426,SPEEDWAY #6959,2808 US 70 HWY E ,,CLAYTON,NC,27520-9321,(919) 553-3535,2006/12/21 00:00:00+00,2 - Food Stands,-78.52023568,35.67517302,M,,Not Provided
2405,04092021451,SPEEDWAY #6982,7413 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 872-4844,2007/05/16 00:00:00+00,2 - Food Stands,-78.54113542,35.87598972,M,,Not Provided
2406,04092021446,LOWES FOODS #191 PRODUCE,9600 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 847-5661,2007/04/27 00:00:00+00,2 - Food Stands,-78.65568512,35.90277372,M,,Not Provided
2407,04092021455,LIFETIME FITNESS BISTRO (OUTSIDE),1700 REGENCY PKY ,,CARY,NC,27511,(919) 467-7779,2007/05/31 00:00:00+00,2 - Food Stands,-78.78729435,35.73333076,M,,Not Provided
2408,04092021474,LEE'S KITCHEN,4638 CAPITAL BLVD ,,RALEIGH,NC,27604,(919) 872-7422,2007/09/20 00:00:00+00,2 - Food Stands,-78.57926433,35.84834257,M,,Not Provided
2409,04092021457,USA BASEBALL CONCESSION STAND,250 BROOKS PARK LN ,,CARY,NC,27519,(919) 387-5844,2007/06/14 00:00:00+00,2 - Food Stands,-78.89258974,35.79722226,M,,Not Provided
2410,04092021475,LOWES FOODS #226 PRODUCE,8440 LOUISBURG RD ,,RALEIGH,NC,27616,(919) 866-1031,2007/09/14 00:00:00+00,2 - Food Stands,-78.50931118,35.89359506,M,,Not Provided
2411,04092021477,LOWES FOODS #226 DELI,"8440 LOUISBURG ROAD, SUITE 110",,RALEIGH,NC,27616,(919) 266-1031,2007/09/14 00:00:00+00,2 - Food Stands,-78.50931118,35.89359506,M,,Not Provided
2412,04092021484,FOOD LION #2638 MEAT MARKET,6209 ROCK QUARRY RD ,,RALEIGH,NC,27610,(919) 772-5894,2007/11/05 00:00:00+00,2 - Food Stands,-78.54796209,35.72312635,M,,Not Provided
2413,04092021486,FOOD LION #2638 DELI/BAKERY,6209 ROCK QUARRY RD ,,RALEIGH,NC,27610,(919) 772-5894,2007/11/05 00:00:00+00,2 - Food Stands,-78.54796209,35.72312635,M,,Not Provided
2414,04092021488,WALMART #4458 DELI,7016 GB ALFORD HWY,,HOLLY SPRINGS,NC,27540,(919) 557-9181,2007/11/09 00:00:00+00,2 - Food Stands,-78.83404691,35.63635562,M,,Not Provided
2415,04092021493,LA TAPATIA TIENDA MEXICANA,1700 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 954-4816,2007/12/07 00:00:00+00,2 - Food Stands,-78.61051699,35.83290841,M,,Not Provided
2416,04092021495,HARRIS TEETER #298 PRODUCE,10140 GREEN LEVEL CHURCH RD ,,CARY,NC,27519,(919) 460-3126,2007/12/13 00:00:00+00,2 - Food Stands,-78.90107972,35.82060442,M,,Not Provided
2417,04092021496,HARRIS TEETER #298 DELI/BAKERY,10140 GREEN LEVEL CHURCH RD ,,CARY,NC,27519,(919) 460-3126,2007/12/13 00:00:00+00,2 - Food Stands,-78.90107972,35.82060442,M,,Not Provided
2418,04092021502,PAPA JOHN'S #429,2101 AVENT FERRY RD ,,RALEIGH,NC,27606,(919) 834-7272,2008/01/07 00:00:00+00,2 - Food Stands,-78.67605304,35.77835842,M,,Not Provided
2419,04092021497,HARRIS TEETER #298 MEAT SEAFOOD,10140 GREEN LEVEL CHURCH RD ,,CARY,NC,27519,(919) 460-3126,2007/12/13 00:00:00+00,2 - Food Stands,-78.90107972,35.82060442,M,,Not Provided
2420,04092021503,HARRIS TEETER #26 PIZZA BAR,7400 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 848-1464,2008/01/25 00:00:00+00,2 - Food Stands,-78.67810638,35.88786089,M,,Not Provided
2421,04092021505,HARRIS TEETER #26 MEAT/SEAFOOD,7400 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 848-1464,2008/01/25 00:00:00+00,2 - Food Stands,-78.67810638,35.88786089,M,,Not Provided
2422,04092021508,HARRIS TEETER #330 DELI,1151  TRYON VILLAGE DR ,,CARY,NC,27518,(919) 233-3476,2008/02/21 00:00:00+00,2 - Food Stands,-78.74322595,35.74716476,M,,Not Provided
2423,04092021510,HARRIS TEETER #330 MEAT/SEAFOOD,1151 TRYON VILLAGE  DR ,,CARY,NC,27518,(919) 233-3476,2008/02/21 00:00:00+00,2 - Food Stands,-78.74322595,35.74716476,M,,Not Provided
2424,04092021513,WALMART SUPERCENTER #4499-00 DELI/BAKERY,841 E GANNON AVE ,,ZEBULON,NC,27597,(919) 269-2221,2008/02/25 00:00:00+00,2 - Food Stands,-78.29634433,35.8312879,M,,Not Provided
2425,04092021511,HARRIS TEETER #330 PRODUCE,1151 TRYON VILLAGE DR ,,CARY,NC,27518,(919) 233-3476,2008/02/21 00:00:00+00,2 - Food Stands,-78.74322595,35.74716476,M,,Not Provided
2426,04092021519,INTERNATIONAL FOODS MEATS,421 CHAPANOKE  RD ,STE 140,RALEIGH,NC,27603,(919) 662-5428,2008/03/14 00:00:00+00,2 - Food Stands,-78.65333672,35.73464526,M,,Not Provided
2427,04092021530,PAPA JOHN'S,1516 BROAD ST ,,FUQUAY-VARINA,NC,27526,(919) 577-6565,2008/05/15 00:00:00+00,2 - Food Stands,-78.80247593,35.60486538,M,,Not Provided
2428,04092021523,NEW SUPER GROCERY   FRESH HALAL MEAT,748 E CHATHAM ST ,UNIT G,CARY,NC,27511,(919) 463-0450,2008/04/14 00:00:00+00,2 - Food Stands,-78.76514284,35.79157176,M,,Not Provided
2429,04092021531,DOMINO'S #8820,6213-102 ROCK QUARRY  RD ,,RALEIGH,NC,27610,(919) 779-4443,2008/06/12 00:00:00+00,2 - Food Stands,-78.54796209,35.72312635,M,,Not Provided
2430,04092021532,THE FRESH MARKET DELI,6325 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 872-8501,2008/04/25 00:00:00+00,2 - Food Stands,-78.62251588,35.86923291,M,,Not Provided
2431,04092021533,THE FRESH MARKET PRODUCE,6325 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(919) 872-8501,2008/04/25 00:00:00+00,2 - Food Stands,-78.62251588,35.86923291,M,,Not Provided
2432,04092021534,THE FRESH MARKET MEAT/SEAFOOD,6325 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(919) 872-8501,2008/04/25 00:00:00+00,2 - Food Stands,-78.62251588,35.86923291,M,,Not Provided
2433,04092021542,WALMART #1372 DELI,4500 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 772-8751,2008/07/14 00:00:00+00,2 - Food Stands,-78.65858039,35.71894127,M,,Not Provided
2434,04092021553,COOKOUT #55,1433 N MAIN ST ,,FUQUAY-VARINA,NC,27526,(919) 577-8088,2008/11/04 00:00:00+00,2 - Food Stands,-78.7709902,35.59394947,M,,Not Provided
2435,04092021549,HARRIS TEETER #257 MEAT/SEAFOOD,2080 KILDAIRE FARM RD ,,CARY,NC,27511,(919) 233-9483,2008/09/19 00:00:00+00,2 - Food Stands,-78.78068643,35.73567118,M,,Not Provided
2436,04092021556,PAPA JOHN'S #2838,7134 KNIGHTDALE BLVD ,,KNIGHTDALE,NC,27545,(919) 696-5441,2008/11/19 00:00:00+00,2 - Food Stands,-78.48874851,35.797116,M,,Not Provided
2437,04092021562,LOWES FOODS #239 PRODUCE,932 GATEWAY COMMONS  CIR ,,WAKE FOREST,NC,27587,(919) 554-0537,2009/03/03 00:00:00+00,2 - Food Stands,-78.49517643,35.96733271,M,,Not Provided
2438,04092021567,HARRIS TEETER #367 DELI,14520 JOHN REX BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2009/05/15 00:00:00+00,2 - Food Stands,-78.54282166,35.9470013,M,,Not Provided
2439,04092021564,LOWES FOODS #239 DELI,932 GATEWAY COMMONS CIR ,,WAKE FOREST,NC,27587,(919) 554-0537,2009/03/03 00:00:00+00,2 - Food Stands,-78.49517643,35.96733271,M,,Not Provided
2440,04092021569,HARRIS TEETER #367 MEAT/SEAFOOD,14520 JOHN REX  BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2009/05/15 00:00:00+00,2 - Food Stands,-78.54282166,35.9470013,M,,Not Provided
2441,04092021568,HARRIS TEETER #367 PRODUCE,14520 JOHN REX BLVD ,,RALEIGH,NC,27614,(919) 554-4167,2009/05/15 00:00:00+00,2 - Food Stands,-78.54282166,35.9470013,M,,Not Provided
2442,04092021575,THE CRESCENT,8003 REGENCY PKY ,,CARY,NC,27518,(919) 450-8310,2009/07/15 00:00:00+00,2 - Food Stands,-78.79540992,35.72902885,M,,Not Provided
2443,04092021574,WALMART SUPERCENTER #4250 DELI,1001 SHILOH GLENN  DR ,,MORRISVILLE,NC,27560,(919) 474-2285,2009/06/16 00:00:00+00,2 - Food Stands,-78.84693216,35.86659382,M,,Not Provided
2444,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 00:00:00+00,2 - Food Stands,-78.83920975,35.63987629,M,,Not Provided
2445,04092021583,HARRIS TEETER #311 PRODUCE,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 00:00:00+00,2 - Food Stands,-78.83920975,35.63987629,M,,Not Provided
2446,04092021584,HARRIS TEETER #331 PRODUCE,3430 TEN TEN RD ,,CARY,NC,27518,(919) 387-8272,2009/09/24 00:00:00+00,2 - Food Stands,-78.79278394,35.70189503,M,,Not Provided
2447,04092021585,HARRIS TEETER #331 DELI/BAKERY,3430 TEN TEN RD ,,CARY,NC,27518,(919) 387-8272,2009/09/24 00:00:00+00,2 - Food Stands,-78.79278394,35.70189503,M,,Not Provided
2448,04092021589,WALMART DELI #3889,3151 APEX PEAKWAY ,,APEX,NC,27502,(919) 362-3737,2009/10/05 00:00:00+00,2 - Food Stands,-78.84319549,35.71473786,M,,Not Provided
2449,04092021586,HARRIS TEETER #331 MEAT/SEAFOOD,3430 TEN TEN RD ,,CARY,NC,27518,(919) 387-8272,2009/09/24 00:00:00+00,2 - Food Stands,-78.79278394,35.70189503,M,,Not Provided
2450,04092021592,ALMADINA SUPERMARKET,1019 METHOD RD ,,RALEIGH,NC,27606,(919) 755-6220,2009/10/29 00:00:00+00,2 - Food Stands,-78.69350379,35.78486525,M,,Not Provided
2451,04092021594,PIZZA EXPRESS ,2121 POOLE RD ,,RALEIGH,NC,27610,(919) 231-8882,2009/10/30 00:00:00+00,2 - Food Stands,-78.60848657,35.77599142,M,,Not Provided
2452,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 00:00:00+00,2 - Food Stands,-78.63883981,35.83739883,M,,Not Provided
2453,04092021604,THE BUTCHERS MARKET,1225 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-3082,2010/01/20 00:00:00+00,2 - Food Stands,-78.78213151,35.76273552,M,,Not Provided
2454,04092021607,QUE HUONG ORIENTAL MARKET,3312 CAPITAL  BLVD ,,RALEIGH,NC,27604,(919) 790-5325,2010/02/16 00:00:00+00,2 - Food Stands,-78.5854729,35.82439324,M,,Not Provided
2455,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 00:00:00+00,2 - Food Stands,-78.63883981,35.83739883,M,,Not Provided
2456,04092021613,"SALTWATER SEAFOOD, LLC",4 FENTON ST ,,RALEIGH,NC,27604,(919) 834-1813,2010/05/25 00:00:00+00,2 - Food Stands,-78.62094723,35.80309992,M,,Not Provided
2457,04092021609,KICKER'S KITCHEN,201 SOCCER PARK  DR ,,CARY,NC,27513,(919) 452-8931,2010/03/19 00:00:00+00,2 - Food Stands,-78.7543031,35.78579334,M,,Not Provided
2458,04092021615,CIRCLE K #1511,4501 DELTA LAKE  RD ,,RALEIGH,NC,27612,(919) 510-7976,2010/06/03 00:00:00+00,2 - Food Stands,-78.71167986,35.85630757,M,,Not Provided
2459,04092021628,FOOD LION #2196 MEAT MARKET/SEAFOOD,3609 DAVIS DR ,,MORRISVILLE,NC,27560,(919) 469-4195,2010/09/10 00:00:00+00,2 - Food Stands,-78.84918557,35.8221795,M,,Not Provided
2460,04092021635,INTERNATIONAL FOODS DELI,421 CHAPANOKE RD ,STE 140,RALEIGH,NC,27603,(919) 662-5428,2010/12/01 00:00:00+00,2 - Food Stands,-78.65333672,35.73464526,M,,Not Provided
2461,04092021637,EDIBLE ARRANGEMENTS #1159,1028 OBERLIN RD ,STE 238,RALEIGH,NC,27605,(919) 521-8991,2010/12/09 00:00:00+00,2 - Food Stands,-78.65844846,35.79783425,M,,Not Provided
2462,04092021643,FOOD LION #2199 DELI,12345 STRICKLAND RD ,,RALEIGH,NC,27613,(919) 846-3589,2011/01/20 00:00:00+00,2 - Food Stands,-78.70279728,35.90556515,M,,Not Provided
2463,04092021638,EDIBLE ARRANGEMENTS #391,944 GATEWAY COMMONS  CIR ,,WAKE FOREST,NC,27587,(919) 374-2960,2011/01/07 00:00:00+00,2 - Food Stands,-78.49517643,35.96733271,M,,Not Provided
2464,04092021644,FOOD LION #2199 MEAT MARKET/SEAFOOD,12345 STRICKLAND RD ,,RALEIGH,NC,27613,(919) 846-3589,2011/01/20 00:00:00+00,2 - Food Stands,-78.70279728,35.90556515,M,,Not Provided
2465,04092021647,WALMART #4484 DELI,8031 OLD WAKE FOREST RD ,,RALEIGH,NC,27616,(919) 424-6235,2011/01/20 00:00:00+00,2 - Food Stands,-78.56666615,35.86808882,M,,Not Provided
2466,04092021648,FOOD LION #2198 DELI/BAKERY,8745 HOLLY SPRINGS RD ,,CARY,NC,27539,(919) 362-1738,2011/01/25 00:00:00+00,2 - Food Stands,-78.77345985,35.69264269,M,,Not Provided
2467,04092021649,HARRIS TEETER #353 PRODUCE,13686 CAPITAL  BLVD ,,WAKE FOREST,NC,27587,(919) 554-3608,2011/02/04 00:00:00+00,2 - Food Stands,-78.51867626,36.00549137,M,,Not Provided
2468,04092021652,EL TORO SUPERMARKET MEAT MARKET ,3609 JUNCTION BLVD ,,RALEIGH,NC,27603,(919) 773-8172,2011/02/10 00:00:00+00,2 - Food Stands,-78.65709422,35.73082026,M,,Not Provided
2469,04092021650,HARRIS TEETER #353 DELI,13686 CAPITAL BLVD ,,WAKE FOREST,NC,27587,(919) 554-3608,2011/02/04 00:00:00+00,2 - Food Stands,-78.51867626,36.00549137,M,,Not Provided
2470,04092021656,WHOLE FOODS #10338 SEAFOOD,8710 SIX FORKS  RD ,,RALEIGH,NC,27615,(919) 354-0350,2011/03/11 00:00:00+00,2 - Food Stands,-78.65023579,35.89889531,M,,Not Provided
2471,04092021657,WHOLE FOODS #10338 SPECIALTY,8710 SIX FORKS RD ,,RALEIGH,NC,27615,(919) 354-0350,2011/03/11 00:00:00+00,2 - Food Stands,-78.65023579,35.89889531,M,,Not Provided
2472,04092021659,WHOLE FOODS #10338 PRODUCE,8710 SIX FORKS  RD ,,RALEIGH,NC,27615,(919) 354-0350,2011/03/11 00:00:00+00,2 - Food Stands,-78.65023579,35.89889531,M,,Not Provided
2473,04092021672,THE BUTCHERS MARKET,5045 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 809-8914,2011/03/29 00:00:00+00,2 - Food Stands,-78.61557773,35.84978383,M,,Not Provided
2474,04092021678,RALEIGH NURSERY SCHOOL,1035 HALIFAX ST ,,RALEIGH,NC,27604,(919) 834-2136,2011/06/10 00:00:00+00,2 - Food Stands,-78.63868014,35.79407208,M,,Not Provided
2475,04092021687,PORT CITY JAVA EB2,890  OVAL DR ,,RALEIGH,NC,27695,(919) 513-2420,2011/09/13 00:00:00+00,2 - Food Stands,-78.67344855,35.77131234,M,,Not Provided
2476,04092021689,JAMAICA JERK MASTERS,1909 POOLE RD ,,RALEIGH,NC,27610,(919) 231-7697,2011/09/26 00:00:00+00,2 - Food Stands,-78.61095581,35.77715292,M,,Not Provided
2477,04092021696,PULLEN CAFE',520 ASHE AVE ,,RALEIGH,NC,27606,(919) 829-7180,2011/11/15 00:00:00+00,2 - Food Stands,-78.66378571,35.78166259,M,,Not Provided
2478,04092021693,WALMART DELI #2247,2010 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 852-6651,2011/11/08 00:00:00+00,2 - Food Stands,-78.78211243,35.73717418,M,,Not Provided
2479,04092021698,SUVIDHA,3735  DAVIS DR ,,MORRISVILLE,NC,27560,(919) 650-1436,2011/12/21 00:00:00+00,2 - Food Stands,-78.85587816,35.83375434,M,,Not Provided
2480,04092021700,JET'S PIZZA,1253 NW MAYNARD RD ,,CARY,NC,27513,(919) 469-4949,2012/01/25 00:00:00+00,2 - Food Stands,-78.81241251,35.78438851,M,,Not Provided
2481,04092021701,PAPA JOHN'S,5007 WINSTON HILL DR ,,CARY,NC,27513,(919) 380-7272,2012/02/16 00:00:00+00,2 - Food Stands,-78.84641274,35.79047276,M,,Not Provided
2482,04092021703,S   S HALAL MEAT,3735 DAVIS DR ,STE 101,MORRISVILLE,NC,27560,(919) 650-1646,2012/03/20 00:00:00+00,2 - Food Stands,-78.85587816,35.83375434,M,,Not Provided
2483,04092021702,HARRIS TEETER #136 PRODUCE,9600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 676-6614,2012/03/09 00:00:00+00,2 - Food Stands,-78.60013448,35.90523089,M,,Not Provided
2484,04092021710,FIRE WOK,442 FAYETTEVILLE ST ,,RALEIGH,NC,27601,(919) 821-8089,2012/06/08 00:00:00+00,2 - Food Stands,-78.63936489,35.77440851,M,,Not Provided
2485,04092021705,EMPIRE EATS CATERING KITCHEN,415 ROYAL ST ,,RALEIGH,NC,27607,(919) 600-3688,2012/05/10 00:00:00+00,2 - Food Stands,-78.68760395,35.79365959,M,,Not Provided
2486,04092021721,WALMART 4157 NEIGHBORHOOD MARKET DELI,2750 NC 55  HWY ,,CARY,NC,27519,(919) 335-0051,2012/09/28 00:00:00+00,2 - Food Stands,-78.8696779,35.78629718,M,,Not Provided
2487,04092021712,HARRIS TEETER #136 MEAT MARKET/SEAFOOD,9600 FALLS OF NEUSE RD ,,RALEIGH,NC,27615,(919) 676-6614,2012/07/10 00:00:00+00,2 - Food Stands,-78.60013448,35.90523089,M,,Not Provided
2488,04092021728,BARRON'S DELI,5420 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 772-4839,2012/12/03 00:00:00+00,2 - Food Stands,-78.66356105,35.70535002,M,,Not Provided
2489,04092021731,CARLIE C'S SEAFOOD,4111 NEW BERN AVE ,,RALEIGH,NC,27610-1372,(919) 250-7876,2013/01/25 00:00:00+00,2 - Food Stands,-78.56526182,35.80114658,M,,Not Provided
2490,04092021733,CARLIE C'S PRODUCE,4111 NEW BERN AVE ,,RALEIGH,NC,27610-1372,(919) 250-7876,2013/01/25 00:00:00+00,2 - Food Stands,-78.56526182,35.80114658,M,,Not Provided
2491,04092021730,THE CATERING WORKS,2319 LAURELBROOK ST ,,RALEIGH,NC,27604,(919) 828-5932,2013/01/07 00:00:00+00,2 - Food Stands,-78.61526306,35.81200857,M,,Not Provided
2492,04092021734,TARGET CAFE,100 GRAND HILL  PL ,,HOLLY SPRINGS,NC,27540,(919) 557-2686,2013/01/24 00:00:00+00,2 - Food Stands,-78.85150042,35.66041463,M,,Not Provided
2493,04092021744,TERIYAKI PLACE,5959 TRIANGLE TOWN BLVD ,FC 1132,RALEIGH,NC,27616,(919) 792-0111,2013/05/28 00:00:00+00,2 - Food Stands,-78.576038,35.86600165,M,,Not Provided
2494,04092021746,WALMART NEIGHBORHOOD DELI #4147,3560 DAVIS DR ,,MORRISVILLE,NC,27560,(919) 388-2731,2013/06/18 00:00:00+00,2 - Food Stands,-78.84576057,35.81812092,M,,Not Provided
2495,04092021749,WALMART NEIGHBORHOOD MARKET #2414,973 N HARRISON AVE ,,CARY,NC,27513,(919) 337-9780,2013/07/12 00:00:00+00,2 - Food Stands,-78.78451819,35.80143568,M,,Not Provided
2496,04092021750,CHARLEY'S PHILLY STEAKS # 789,5959 TRIANGLE TOWN  BLVD ,STE 1124,RALEIGH,NC,27616,(919) 792-2206,2013/08/07 00:00:00+00,2 - Food Stands,-78.576038,35.86600165,M,,Not Provided
2497,04092021751,HARRIS TEETER #395 MEAT MARKET/SEAFOOD,1432 BROGDEN WOODS  DR ,,WAKE FOREST,NC,27587,(919) 870-4980,2013/08/19 00:00:00+00,2 - Food Stands,-78.69147587,35.99120972,M,,Not Provided
2498,04092021752,HARRIS TEETER #395 PRODUCE,1432 BROGDEN WOODS DR ,,WAKE FOREST,NC,27587,(919) 870-4980,2013/08/19 00:00:00+00,2 - Food Stands,-78.69147587,35.99120972,M,,Not Provided
2499,04092021755,CARLIE C'S DELI,4111 NEW BERN  AVE ,,RALEIGH,NC,27610,(919) 250-7876,2013/07/29 00:00:00+00,2 - Food Stands,-78.56526182,35.80114658,M,,Not Provided
2500,04092021757,THE HAT RACK CATERING KITCHEN (1ST FLOOR),100 E DAVIE ST ,(1ST FLOOR),RALEIGH,NC,27601,(919) 754-3767,2013/10/01 00:00:00+00,2 - Food Stands,-78.63762465,35.77518083,M,,Not Provided
2501,04092021758,TALLEY STUDENT UNION MAIN KITCHEN,2610 CATES AVE ,,RALEIGH,NC,27695,,2013/10/04 00:00:00+00,2 - Food Stands,-78.67872314,35.78447976,M,,Not Provided
2502,04092021761,PAVILLION TALLEY STUDENT UNION,2610 CATES AVE ,,RALEIGH,NC,27695,(919) 513-1602,2013/10/10 00:00:00+00,2 - Food Stands,-78.67872314,35.78447976,M,,Not Provided
2503,04092021762,JASON'S DELI TALLEY STUDENT UNION,2610 CATES AVE ,,RALEIGH,NC,27695,(919) 513-1602,2013/10/10 00:00:00+00,2 - Food Stands,-78.67872314,35.78447976,M,,Not Provided
2504,04092021763,SHEETZ #525,10700 CHAPEL HILL RD ,,MORRISVILLE,NC,27560,(919) 426-0073,2013/10/18 00:00:00+00,2 - Food Stands,-78.836096,35.84691149,M,,Not Provided
2505,04092021775,SARKU JAPAN,4325-2053 GLENWOOD AVE ,,RALEIGH,NC,27612,(919) 881-1130,2014/01/03 00:00:00+00,2 - Food Stands,-78.68184647,35.84183507,M,,Not Provided
2506,04092021780,CATERING BY DESIGN,132 KILMAYNE DR ,,CARY,NC,27511-4465,(919) 481-2366,2014/01/16 00:00:00+00,2 - Food Stands,-78.7839781,35.76971952,M,,Not Provided
2507,04092021785,ONE EARTH,2610 CATES AVE ,,RALEIGH,NC,27695,(919) 515-9245,2014/03/11 00:00:00+00,2 - Food Stands,-78.67872314,35.78447976,M,,Not Provided
2508,04092021786,PORT CITY JAVA TALLEY,2610 CATES AVE ,,RALEIGH,NC,27695,(919) 513-7057,2014/03/11 00:00:00+00,2 - Food Stands,-78.67872314,35.78447976,M,,Not Provided
2509,04092021781,CATERING CONCEPTS D/B/A CHOW TIME FOOD HALL,2411 E MILLBROOK RD ,#106,RALEIGH,NC,27604,(919) 669-8889,2014/01/31 00:00:00+00,2 - Food Stands,-78.59474248,35.84866623,M,,Not Provided
2510,04092021787,STARBUCKS TERMINAL 1,1600 JOHN BRANTLEY BLVD ,,MORRISVILLE,NC,27560,,2014/04/09 00:00:00+00,2 - Food Stands,-78.7893961,35.86970016,M,,Not Provided
2511,04092021792,HARRIS TEETER #236 - DELI,7145 O'KELLY CHAPEL RD ,,CARY,NC,27519,(919) 465-9432,2014/06/06 00:00:00+00,2 - Food Stands,-78.8882479,35.8441495,M,,Not Provided
2512,04092021793,HARRIS TEETER #236 - PRODUCE,7145 O'KELLY CHAPEL RD ,,CARY,NC,27519,,2014/06/06 00:00:00+00,2 - Food Stands,-78.8882479,35.8441495,M,,Not Provided
2513,04092021795,S   E CATERING,3401 CARL SANDBURG COURT,,RALEIGH,NC,27610,(919) 212-8580,2014/06/10 00:00:00+00,2 - Food Stands,-78.57997366,35.78097809,M,,Not Provided
2514,04092021794,HARRIS TEETER #236 - MEAT/SEAFOOD,7145 O'KELLY CHAPEL RD ,,CARY,NC,27519,,2014/06/06 00:00:00+00,2 - Food Stands,-78.8882479,35.8441495,M,,Not Provided
2515,04092021797,CIRCLE K #1403,4019 DAVIS DRIVE,,MORRISVILLE,NC,27560,(919) 380-8846,2014/06/17 00:00:00+00,2 - Food Stands,-78.85694991,35.83745367,M,,Not Provided
2516,04092021807,KABOBI,4325  GLENWOOD AVE ,STE 2054,RALEIGH,NC,27612,(919) 783-0506,2014/08/06 00:00:00+00,2 - Food Stands,-78.68184647,35.84183507,M,,Not Provided
2517,04092021801,JET'S PIZZA,3004 WAKE FOREST ROAD,SUITE 110,RALEIGH,NC,27609,(919) 877-8660,2014/07/03 00:00:00+00,2 - Food Stands,-78.6203889,35.82333174,M,,Not Provided
2518,04092021811,LOWES FOODS #162 PRODUCE,6430 TRYON ROAD,,CARY,NC,27513,(919) 859-9335,2014/09/25 00:00:00+00,2 - Food Stands,-78.76155635,35.7455991,M,,Not Provided
2519,04092021812,LOWES FOODS #162 DELI,6430 TRYON ROAD,,CARY,NC,27513,(919) 859-9335,2014/09/25 00:00:00+00,2 - Food Stands,-78.76155635,35.7455991,M,,Not Provided
2520,04092021814,HARRIS TEETER #430 - DELI,885 WALNUT ST.,,CARY,NC,27511,(919) 481-4251,2014/10/15 00:00:00+00,2 - Food Stands,-78.76562102,35.77485801,M,,Not Provided
2521,04092021815,HARRIS TEETER #430 - PRODUCE,885 WALNUT ST ,,CARY,NC,27511,(919) 481-4251,2014/10/15 00:00:00+00,2 - Food Stands,-78.76562102,35.77485801,M,,Not Provided
